	value	temperature_2m	extracted_period_hour	extracted_period_day	extracted_period_month	extracted_period_dayofweek	skewness	kurtosis
count	265671.0	114983.0	265671.0	265671.0	265671.0	265671.0		
mean	1132.0102721034664	8.574327211847125	11.278856179259309	15.714180320772686	6.493429843678836	2.999958595405596		
std	576.0575456863767	8.01103546895582	7.003653209190931	8.808507337509175	3.4681556473005566	2.0020193437431137		
min	168.0	-10.4915	0.0	1.0	1.0	0.0		
25%	667.0	2.6585	5.0	8.0	3.0	1.0		
50%	1034.0	7.3585	11.0	16.0	6.0	3.0		
75%	1554.0	14.0085	17.0	23.0	10.0	5.0		
max	3277.0	37.7085	23.0	31.0	12.0	6.0		
value							0.6114703782857807	-0.08749435567813402
temperature_2m							0.465960916276958	-0.25957962231748466
extracted_period_hour							0.014388136749538222	-1.2078995239250705
extracted_period_day							0.006915253568095535	-1.1946000254995401
extracted_period_month							0.0033976870294681358	-1.2241540253611312
extracted_period_dayofweek							0.0007126722009279562	-1.2529000821590524
