Statistical Summary
============================================================

                                   period   subba      subba-name          value                       date  temperature_2m  extracted_period_hour  extracted_period_day  extracted_period_month  extracted_period_dayofweek extracted_period_is_weekend extracted_period_season  extracted_date_hour  extracted_date_day  extracted_date_month  extracted_date_dayofweek extracted_date_is_weekend extracted_date_season temperature_anomaly     value_std  temperature_2m_std  skewness  kurtosis
count                              265671  265671          265671  265671.000000                     265671   114983.000000          265671.000000         265671.000000           265671.000000               265671.000000                      265671                  265671        265671.000000       265671.000000         265671.000000             265671.000000                    265671                265671              265671  2.656710e+05        1.149830e+05       NaN       NaN
unique                              26326      10              20            NaN                      26228             NaN                    NaN                   NaN                     NaN                         NaN                           2                       4                  NaN                 NaN                   NaN                       NaN                         2                     4                   2           NaN                 NaN       NaN       NaN
top                         2/9/2022 0:00    ZONF  Capital - NYIS            NaN  2024-01-02 05:00:00+00:00             NaN                    NaN                   NaN                     NaN                         NaN                       False                  Spring                  NaN                 NaN                   NaN                       NaN                     False                Winter                True           NaN                 NaN       NaN       NaN
freq                                   20   26790           25715            NaN                     153976             NaN                    NaN                   NaN                     NaN                         NaN                      189556                   67561                  NaN                 NaN                   NaN                       NaN                    233846                202816              150991           NaN                 NaN       NaN       NaN
mean                                  NaN     NaN             NaN    1132.010272                        NaN        8.574327              11.278856             15.714180                6.493430                    2.999959                         NaN                     NaN             7.733554            7.801698              3.412913                  1.837758                       NaN                   NaN                 NaN  1.998713e-11        2.502977e-11       NaN       NaN
std                                   NaN     NaN             NaN     576.057546                        NaN        8.011035               7.003653              8.808507                3.468156                    2.002019                         NaN                     NaN             5.518024            8.893339              3.919959                  1.628495                       NaN                   NaN                 NaN  1.000000e+00        1.000000e+00       NaN       NaN
min                                   NaN     NaN             NaN     168.000000                        NaN      -10.491500               0.000000              1.000000                1.000000                    0.000000                         NaN                     NaN             0.000000            1.000000              1.000000                  0.000000                       NaN                   NaN                 NaN -1.673462e+00       -2.379945e+00       NaN       NaN
25%                                   NaN     NaN             NaN     667.000000                        NaN        2.658500               5.000000              8.000000                3.000000                    1.000000                         NaN                     NaN             5.000000            2.000000              1.000000                  1.000000                       NaN                   NaN                 NaN -8.072289e-01       -7.384597e-01       NaN       NaN
50%                                   NaN     NaN             NaN    1034.000000                        NaN        7.358500              11.000000             16.000000                6.000000                    3.000000                         NaN                     NaN             5.000000            2.000000              1.000000                  1.000000                       NaN                   NaN                 NaN -1.701397e-01       -1.517690e-01       NaN       NaN
75%                                   NaN     NaN             NaN    1554.000000                        NaN       14.008500              17.000000             23.000000               10.000000                    5.000000                         NaN                     NaN             9.000000           13.000000              5.000000                  2.000000                       NaN                   NaN                 NaN  7.325479e-01        6.783359e-01       NaN       NaN
max                                   NaN     NaN             NaN    3277.000000                        NaN       37.708500              23.000000             31.000000               12.000000                    6.000000                         NaN                     NaN            23.000000           31.000000             12.000000                  6.000000                       NaN                   NaN                 NaN  3.723568e+00        3.636755e+00       NaN       NaN
value                                 NaN     NaN             NaN            NaN                        NaN             NaN                    NaN                   NaN                     NaN                         NaN                         NaN                     NaN                  NaN                 NaN                   NaN                       NaN                       NaN                   NaN                 NaN           NaN                 NaN  0.611470 -0.087494
temperature_2m                        NaN     NaN             NaN            NaN                        NaN             NaN                    NaN                   NaN                     NaN                         NaN                         NaN                     NaN                  NaN                 NaN                   NaN                       NaN                       NaN                   NaN                 NaN           NaN                 NaN  0.465961 -0.259580
extracted_period_hour                 NaN     NaN             NaN            NaN                        NaN             NaN                    NaN                   NaN                     NaN                         NaN                         NaN                     NaN                  NaN                 NaN                   NaN                       NaN                       NaN                   NaN                 NaN           NaN                 NaN  0.014388 -1.207900
extracted_period_day                  NaN     NaN             NaN            NaN                        NaN             NaN                    NaN                   NaN                     NaN                         NaN                         NaN                     NaN                  NaN                 NaN                   NaN                       NaN                       NaN                   NaN                 NaN           NaN                 NaN  0.006915 -1.194600
extracted_period_month                NaN     NaN             NaN            NaN                        NaN             NaN                    NaN                   NaN                     NaN                         NaN                         NaN                     NaN                  NaN                 NaN                   NaN                       NaN                       NaN                   NaN                 NaN           NaN                 NaN  0.003398 -1.224154
extracted_period_dayofweek            NaN     NaN             NaN            NaN                        NaN             NaN                    NaN                   NaN                     NaN                         NaN                         NaN                     NaN                  NaN                 NaN                   NaN                       NaN                       NaN                   NaN                 NaN           NaN                 NaN  0.000713 -1.252900
extracted_date_hour                   NaN     NaN             NaN            NaN                        NaN             NaN                    NaN                   NaN                     NaN                         NaN                         NaN                     NaN                  NaN                 NaN                   NaN                       NaN                       NaN                   NaN                 NaN           NaN                 NaN  1.418672  0.847149
extracted_date_day                    NaN     NaN             NaN            NaN                        NaN             NaN                    NaN                   NaN                     NaN                         NaN                         NaN                     NaN                  NaN                 NaN                   NaN                       NaN                       NaN                   NaN                 NaN           NaN                 NaN  1.261909  0.125200
extracted_date_month                  NaN     NaN             NaN            NaN                        NaN             NaN                    NaN                   NaN                     NaN                         NaN                         NaN                     NaN                  NaN                 NaN                   NaN                       NaN                       NaN                   NaN                 NaN           NaN                 NaN  1.275310 -0.051828
extracted_date_dayofweek              NaN     NaN             NaN            NaN                        NaN             NaN                    NaN                   NaN                     NaN                         NaN                         NaN                     NaN                  NaN                 NaN                   NaN                       NaN                       NaN                   NaN                 NaN           NaN                 NaN  1.427673  0.755417
